player_name,p_throws,games,hits_total,pa_total,bb_total,rbi_total,hit_rate_per_pa,bb_rate_per_pa,rbi_rate_per_pa,avg_pa_game,prob_hit_game,prob_bb_game,prob_rbi_game,odds_over_hit,odds_under_hit,p_over_hit,p_under_hit,value_hit_over,value_hit_under,odds_over_bb,odds_under_bb,p_over_bb,p_under_bb,value_bb_over,value_bb_under,odds_over_rbi,odds_under_rbi,p_over_rbi,p_under_rbi,value_rbi_over,value_rbi_under
Max Muncy,R,99,67,250,57,58,0.268,0.228,0.232,2.525252525252525,0.5451624984102859,0.4797581278296341,0.486538208927091,1.4,1.78,0.7142857142857143,0.5617977528089888,False,False,1.9,1.83,0.5263157894736842,0.5464480874316939,False,False,2.1,1.68,0.47619047619047616,0.5952380952380952,True,False
Michael Conforto,L,48,16,66,9,2,0.24242424242424243,0.13636363636363635,0.030303030303030304,1.375,0.31732995844749046,0.18256163783273405,0.041428410958968764,1.92,1.6,0.5208333333333334,0.625,False,True,2.6,1.43,0.3846153846153846,0.6993006993006994,False,True,2.8,1.28,0.35714285714285715,0.78125,False,True
Michael Conforto,R,136,67,363,49,34,0.18457300275482094,0.1349862258953168,0.09366391184573003,2.6691176470588234,0.41993539062148644,0.32094173510575386,0.23086948069954827,1.92,1.6,0.5208333333333334,0.625,False,False,2.6,1.43,0.3846153846153846,0.6993006993006994,False,False,2.8,1.28,0.35714285714285715,0.78125,False,False
Miguel Rojas,L,72,36,122,12,16,0.29508196721311475,0.09836065573770492,0.13114754098360656,1.6944444444444444,0.4470583179746851,0.16091555517485612,0.2119614785413121,1.7,1.76,0.5882352941176471,0.5681818181818182,False,False,2.35,1.55,0.425531914893617,0.6451612903225806,False,True,2.4,1.52,0.4166666666666667,0.6578947368421053,False,True
Miguel Rojas,R,85,41,177,11,12,0.23163841807909605,0.062146892655367235,0.06779661016949153,2.0823529411764707,0.42229346796842715,0.12506686549446633,0.13600650965670347,1.7,1.76,0.5882352941176471,0.5681818181818182,False,True,2.35,1.55,0.425531914893617,0.6451612903225806,False,True,2.4,1.52,0.4166666666666667,0.6578947368421053,False,True
Mookie Betts,L,92,43,169,15,21,0.25443786982248523,0.08875739644970414,0.1242603550295858,1.8369565217391304,0.41687943343302547,0.15695755098493736,0.21630802387919956,1.26,1.89,0.7936507936507936,0.5291005291005292,False,True,1.85,1.96,0.5405405405405405,0.5102040816326531,False,True,2.3,1.55,0.4347826086956522,0.6451612903225806,False,True
Mookie Betts,R,146,109,434,44,62,0.2511520737327189,0.10138248847926268,0.14285714285714285,2.9726027397260273,0.576725442105186,0.2722259706534018,0.3675971918457972,1.26,1.89,0.7936507936507936,0.5291005291005292,False,False,1.85,1.96,0.5405405405405405,0.5102040816326531,False,True,2.3,1.55,0.4347826086956522,0.6451612903225806,False,False
Shohei Ohtani,L,114,62,223,21,34,0.27802690582959644,0.09417040358744394,0.15246636771300448,1.956140350877193,0.47125381765956176,0.17590564747201198,0.2764560880911302,1.26,1.89,0.7936507936507936,0.5291005291005292,False,False,1.8,1.95,0.5555555555555556,0.5128205128205129,False,True,2.15,1.74,0.46511627906976744,0.5747126436781609,False,True
Shohei Ohtani,R,143,111,397,69,69,0.2795969773299748,0.17380352644836272,0.17380352644836272,2.7762237762237763,0.5976557584470374,0.41142096502013037,0.41142096502013037,1.26,1.89,0.7936507936507936,0.5291005291005292,False,False,1.8,1.95,0.5555555555555556,0.5128205128205129,False,True,2.15,1.74,0.46511627906976744,0.5747126436781609,False,True
Teoscar Hernandez,L,59,31,122,5,20,0.2540983606557377,0.040983606557377046,0.16393442622950818,2.0677966101694913,0.4545796160496396,0.08289316817821768,0.30942819801787613,1.34,1.8,0.7462686567164178,0.5555555555555556,False,False,1.9,1.83,0.5263157894736842,0.5464480874316939,False,True,2.1,1.68,0.47619047619047616,0.5952380952380952,False,True
Teoscar Hernandez,R,134,97,403,21,74,0.24069478908188585,0.052109181141439205,0.18362282878411912,3.0074626865671643,0.5631254699158624,0.14866300741418015,0.4567308743717833,1.34,1.8,0.7462686567164178,0.5555555555555556,False,False,1.9,1.83,0.5263157894736842,0.5464480874316939,False,True,2.1,1.68,0.47619047619047616,0.5952380952380952,False,False
Tommy Edman,L,61,26,118,4,19,0.22033898305084745,0.03389830508474576,0.16101694915254236,1.9344262295081966,0.3821261957035119,0.06453445409200553,0.2879570913610814,1.49,1.76,0.6711409395973155,0.5681818181818182,False,True,2.1,1.71,0.47619047619047616,0.5847953216374269,False,True,2.2,1.62,0.45454545454545453,0.6172839506172839,False,True
Tommy Edman,R,95,54,242,15,32,0.2231404958677686,0.06198347107438017,0.1322314049586777,2.5473684210526315,0.47439207501513203,0.1504090396283413,0.30322571672002263,1.49,1.76,0.6711409395973155,0.5681818181818182,False,False,2.1,1.71,0.47619047619047616,0.5847953216374269,False,True,2.2,1.62,0.45454545454545453,0.6172839506172839,False,True
Will Smith,L,55,24,93,18,10,0.25806451612903225,0.1935483870967742,0.10752688172043011,1.690909090909091,0.3963281406639769,0.30492379180689877,0.17498683353332367,1.36,1.8,0.7352941176470588,0.5555555555555556,False,True,1.95,1.8,0.5128205128205129,0.5555555555555556,False,True,2.1,1.68,0.47619047619047616,0.5952380952380952,False,True
Will Smith,R,106,84,280,45,53,0.3,0.16071428571428573,0.18928571428571428,2.641509433962264,0.6102150995318116,0.3704835248445538,0.4255218670759845,1.36,1.8,0.7352941176470588,0.5555555555555556,False,False,1.95,1.8,0.5128205128205129,0.5555555555555556,False,True,2.1,1.68,0.47619047619047616,0.5952380952380952,False,False
