batter,pitch_name,num_turns,total_hits,avg_batting,total_strikeouts,avg_strikeouts,avg_balls,avg_strikes,avg_speed,min_speed,max_speed,std_speed
Esteury Ruiz,Knuckle Curve,2,0,0.0,1,0.5,2.5,1.5,82.1,81.6,82.6,0.7071067811865476
Esteury Ruiz,Sinker,14,1,0.07142857142857142,2,0.14285714285714285,1.2857142857142858,1.2857142857142858,94.83928571428571,90.75,98.5,2.442506481483298
Esteury Ruiz,Slider,3,0,0.0,1,0.3333333333333333,1.0,1.6666666666666667,84.14999999999999,82.2,86.95,2.48646335183127
Esteury Ruiz,Sweeper,7,0,0.0,2,0.2857142857142857,2.142857142857143,2.142857142857143,82.21428571428571,78.85,87.13333333333333,2.749973544846298
Freddie Freeman,4-Seam Fastball,409,64,0.15647921760391198,36,0.08801955990220049,1.9364303178484108,1.5794621026894866,94.76595820235185,86.1,101.4,2.5430078797420075
Freddie Freeman,Changeup,187,14,0.0748663101604278,11,0.058823529411764705,1.267379679144385,1.4331550802139037,87.1622549019608,78.1,95.8,3.4220698047954987
Freddie Freeman,Curveball,152,9,0.05921052631578947,11,0.07236842105263158,1.0460526315789473,1.2894736842105263,80.00856359649123,69.1,90.3,3.534206721001888
Freddie Freeman,Cutter,141,17,0.12056737588652482,9,0.06382978723404255,1.3687943262411348,0.9858156028368794,90.35319148936169,81.8,97.9,2.841178155813166
Freddie Freeman,Forkball,4,1,0.25,0,0.0,1.75,1.75,82.9625,80.6,86.0,2.2388147906128064
Freddie Freeman,Knuckle Curve,42,1,0.023809523809523808,9,0.21428571428571427,1.0,1.3571428571428572,83.62936507936509,75.9,89.0,3.003843088408682
Freddie Freeman,Pitch Out,1,0,0.0,0,0.0,1.0,1.0,84.2,84.2,84.2,
Freddie Freeman,Sinker,211,24,0.11374407582938388,15,0.07109004739336493,1.3981042654028435,1.1374407582938388,93.91342812006319,84.7,99.7,2.7528896634099227
Freddie Freeman,Slider,204,15,0.07352941176470588,21,0.10294117647058823,1.2745098039215685,1.2892156862745099,86.29335784313726,77.7,94.56666666666666,2.8969236295668876
Freddie Freeman,Slurve,10,0,0.0,1,0.1,1.2,1.8,80.345,78.4,82.4,1.23523502037287
Freddie Freeman,Split-Finger,60,9,0.15,4,0.06666666666666667,1.2833333333333334,1.3833333333333333,87.18844444444444,81.55000000000001,94.8,3.12050333152506
Freddie Freeman,Sweeper,101,10,0.09900990099009901,12,0.1188118811881188,0.9405940594059405,1.188118811881188,82.88904290429042,70.19999999999999,88.80000000000001,2.9248172340481835
Hyeseong Kim,4-Seam Fastball,115,10,0.08695652173913043,17,0.14782608695652175,1.5739130434782609,1.7565217391304349,95.15189130434783,86.4,100.3,2.236737183944664
Hyeseong Kim,Changeup,44,5,0.11363636363636363,7,0.1590909090909091,1.0,1.6818181818181819,87.48825757575759,80.9,92.2,2.327519277892101
Hyeseong Kim,Curveball,53,3,0.05660377358490566,9,0.16981132075471697,0.7358490566037735,1.509433962264151,80.69874213836476,73.7,88.2,2.5913355156903615
Hyeseong Kim,Cutter,43,8,0.18604651162790697,2,0.046511627906976744,1.2093023255813953,1.069767441860465,90.13488372093023,83.15,95.6,2.412606918302669
Hyeseong Kim,Eephus,1,0,0.0,0,0.0,2.0,0.0,42.1,42.1,42.1,
Hyeseong Kim,Knuckle Curve,5,1,0.2,1,0.2,0.6,1.2,82.26666666666668,79.5,84.0,1.7866791044343162
Hyeseong Kim,Other,3,2,0.6666666666666666,0,0.0,1.6666666666666667,1.0,61.4888888888889,52.7,66.56666666666668,7.642013502367711
Hyeseong Kim,Sinker,51,7,0.13725490196078433,7,0.13725490196078433,1.0392156862745099,1.2549019607843137,94.3032679738562,84.5,99.2,2.5013929888227433
Hyeseong Kim,Slider,52,6,0.11538461538461539,6,0.11538461538461539,1.1153846153846154,1.6346153846153846,85.90288461538461,79.7,90.0,2.2049328762127884
Hyeseong Kim,Slow Curve,1,0,0.0,0,0.0,2.0,2.0,67.9,67.9,67.9,
Hyeseong Kim,Slurve,3,0,0.0,1,0.3333333333333333,1.0,1.3333333333333333,80.38333333333333,79.6,81.6,1.0680979980008087
Hyeseong Kim,Split-Finger,16,1,0.0625,1,0.0625,1.0,1.4375,88.11875,81.65,99.3,4.905366958750384
Hyeseong Kim,Sweeper,23,2,0.08695652173913043,1,0.043478260869565216,0.782608695652174,1.5217391304347827,83.09021739130435,78.65,87.6,2.3832361870616503
